Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0.8	1	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0.8	1	1	237	0	0.0766561	0.0392285	0	0	Sp1	35.2309	55.0404	17.942	2	NA	0	0	0	
0	1001	0.01	0.01	0.8	1	1	479	0	0.0214988	0.00478404	1	0	Sp1	25.7437	57.1604	15.8061	0	Sp1	49.5054	57.3838	16.5659	
0	1501	0.01	0.01	0.8	1	1	739	-0.5	0.0327244	-0.0100184	0	0	Sp1	26.3439	56.4194	15.1445	1	Sp1	82.9377	17.7254	71.4581	
0	2001	0.01	0.01	0.8	1	1	1003	0	0.0204039	0.00423571	0	1	Sp1	62.5678	16.8025	71.3425	0	Sp1	56.8065	56.5456	16.1663	
0	2501	0.01	0.01	0.8	1	1	1275	-0.5	0.0488594	-0.0116395	0	0	Sp1	36.4388	57.191	15.2519	1	Sp1	78.8091	18.386	69.2664	
0	3001	0.01	0.01	0.8	1	1	1532	0	0.0851811	0.00184439	1	0	Sp1	16.279	56.8112	16.1087	0	Sp1	26.1749	57.3213	15.6697	
0	3501	0.01	0.01	0.8	1	0	1794	0	0.287108	0.166747	1	2	NA	0	0	0	0	Sp1	43.948	58.8207	16.1996	
0	4001	0.01	0.01	0.8	1	1	2054	0	0.162295	0.27396	0	1	Sp1	56.7502	18.5115	70.4021	2	NA	0	0	0	
0	4501	0.01	0.01	0.8	1	0	2289	0	0.597719	-0.367702	0	2	NA	0	0	0	0	Sp1	28.9157	57.319	16.4236	
0	5001	0.01	0.01	0.8	1	0	2541	0	0.202534	-0.0194014	1	2	NA	0	0	0	2	NA	0	0	0	
0	5501	0.01	0.01	0.8	1	1	2803	-0.5	0.0929342	-0.014832	0	0	Sp1	36.7901	56.0459	17.3671	1	Sp1	57.0319	17.8096	69.3966	
0	6001	0.01	0.01	0.8	1	1	3047	0	0.322689	0.43547	0	1	Sp1	55.623	19.549	70.448	2	NA	0	0	0	
0	6501	0.01	0.01	0.8	1	0	3323	0	0.272065	-0.0638058	0	2	NA	0	0	0	2	NA	0	0	0	
0	7001	0.01	0.01	0.8	1	1	3592	-0.5	0.208033	-0.0373181	0	0	Sp1	30.7764	56.5938	16.0556	1	Sp1	68.265	19.9881	69.8297	
0	7501	0.01	0.01	0.8	1	0	3876	0	0.335921	-0.0631265	0	2	NA	0	0	0	2	NA	0	0	0	
0	8001	0.01	0.01	0.8	1	1	4154	0	0.888328	-0.605494	1	0	Sp1	28.9862	56.6448	15.23	2	NA	0	0	0	
0	8501	0.01	0.01	0.8	1	1	4433	0	0.904919	0.600952	0	0	Sp1	30.5502	56.2577	15.0345	2	NA	0	0	0	
0	9001	0.01	0.01	0.8	1	0	4725	0	0.396376	-0.0733183	0	2	NA	0	0	0	2	NA	0	0	0	
0	9501	0.01	0.01	0.8	1	1	5007	0	0.149892	-0.0225534	1	1	Sp1	65.5538	17.0858	70.3184	0	Sp1	43.6311	56.8802	14.0336	
0	10001	0.01	0.01	0.8	1	1	5296	0	0.20099	0.00322326	0	0	Sp1	41.8851	55.4626	16.0478	0	Sp1	39.927	57.3339	16.9177	
0	10501	0.01	0.01	0.8	1	0	5577	0	0.443201	-0.0816048	0	2	NA	0	0	0	2	NA	0	0	0	
