Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0	1	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0	1	0	259	0	0.0861721	-0.0456589	0	2	NA	0	0	0	0	Sp2	31.7638	55.8845	22.536	
0	1001	0.01	0.01	0	1	0	512	0	0.0523172	0.0272504	1	2	NA	0	0	0	0	Sp1	38.677	11.5184	83.4168	
0	1501	0.01	0.01	0	1	1	774	0	0.228537	0.152752	0	0	Sp2	31.1849	55.2267	22.5555	2	NA	0	0	0	
0	2001	0.01	0.01	0	1	0	1033	0	1.55345e-06	-5.53743e-07	1	2	NA	0	0	0	2	NA	0	0	0	
0	2501	0.01	0.01	0	1	1	1270	0	0.355144	0.241163	0	0	Sp2	33.4579	53.6916	24.1139	2	NA	0	0	0	
0	3001	0.01	0.01	0	1	1	1523	0	0.321253	-0.247047	1	0	Sp2	37.1709	55.2469	25.1107	2	NA	0	0	0	
0	3501	0.01	0.01	0	1	1	1777	0	0.330049	-0.264459	1	0	Sp2	43.2402	54.7311	22.9975	2	NA	0	0	0	
0	4001	0.01	0.01	0	1	1	2034	0	0.0965403	0.17086	0	1	Sp1	66.6865	93.4154	93.5622	2	NA	0	0	0	
0	4501	0.01	0.01	0	1	0	2290	0	3.3774e-07	-1.57866e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	5001	0.01	0.01	0	1	1	2552	-0.5	0.023241	0.000963062	0	1	Sp1	71.1881	96.4863	94.0562	1	Sp2	71.9467	45.1307	53.1647	
0	5501	0.01	0.01	0	1	1	2836	0	0.0255969	-0.00154862	1	1	Sp1	73.0292	93.8591	93.7327	0	Sp1	29.9922	11.8333	82.9523	
0	6001	0.01	0.01	0	1	1	3104	0	0.224454	0.011177	0	0	Sp2	27.5882	56.8263	23.1008	0	Sp2	24.5453	55.6795	23.0015	
0	6501	0.01	0.01	0	1	1	3365	0	0.194651	0.329837	0	1	Sp1	75.3616	94.6164	94.1576	2	NA	0	0	0	
0	7001	0.01	0.01	0	1	1	3618	0	0.254212	0.166386	0	0	Sp1	40.266	10.4312	83.2533	2	NA	0	0	0	
0	7501	0.01	0.01	0	1	1	3892	0	0.249188	-0.168915	1	0	Sp1	36.9865	10.7401	83.1905	2	NA	0	0	0	
0	8001	0.01	0.01	0	1	0	4163	0	6.12917e-07	-1.05352e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	8501	0.01	0.01	0	1	1	4440	-0.5	0.020588	-0.00119371	0	1	Sp1	64.709	95.3807	93.9138	1	Sp2	47.784	45.8906	53.91	
0	9001	0.01	0.01	0	1	1	4721	-0.5	0.0271385	0.00163261	1	0	Sp1	39.111	12.2126	81.9112	1	Sp2	52.972	46.6736	53.652	
0	9501	0.01	0.01	0	1	1	4998	0	0.743318	1.01368	0	0	Sp2	25.1108	52.2179	23.3281	2	NA	0	0	0	
0	10001	0.01	0.01	0	1	1	5293	0	0.0608093	0.000471058	1	0	Sp2	43.3122	54.734	23.7371	0	Sp1	51.6928	13.2984	82.5168	
0	10501	0.01	0.01	0	1	1	5572	-0.5	0.161193	-0.0339252	0	0	Sp2	41.3253	54.867	22.8877	1	Sp2	78.6426	44.7687	53.4408	
0	11001	0.01	0.01	0	1	1	5837	-0.5	0.0481035	0.00515825	1	0	Sp1	22.3593	10.1668	84.2332	1	Sp2	63.4369	46.8462	54.021	
0	11501	0.01	0.01	0	1	0	6123	0	1.33557e-06	-2.30414e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	12001	0.01	0.01	0	1	0	6405	0	0.635397	-0.799182	0	2	NA	0	0	0	0	Sp2	37.7244	53.0779	22.2408	
0	12501	0.01	0.01	0	1	0	6674	0	5.5447e-07	-2.47128e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	13001	0.01	0.01	0	1	0	6935	-0.5	0.419522	0.711097	1	2	NA	0	0	0	1	Sp2	66.9517	44.9459	54.6247	
0	13501	0.01	0.01	0	1	1	7218	0	0.0310466	0.00433819	0	1	Sp1	72.4858	94.0435	93.8384	0	Sp1	12.725	12.1337	82.2611	
0	14001	0.01	0.01	0	1	1	7493	0	0.681225	1.08275	0	0	Sp2	23.3858	56.9789	22.0671	2	NA	0	0	0	
0	14501	0.01	0.01	0	1	1	7744	0	0.617994	-0.882709	1	0	Sp2	39.4647	55.0823	23.4712	2	NA	0	0	0	
0	15001	0.01	0.01	0	1	1	8036	0	0.25391	-0.0023872	0	0	Sp2	51.9086	54.9458	21.3246	0	Sp2	31.5427	55.3649	21.3451	
0	15501	0.01	0.01	0	1	1	8318	0	0.434984	-0.387903	1	0	Sp1	32.6797	13.5361	84.1166	2	NA	0	0	0	
0	16001	0.01	0.01	0	1	0	8585	0	2.41887e-07	-1.65535e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	16501	0.01	0.01	0	1	1	8867	0	0.793222	-1.23358	1	0	Sp2	32.8972	53.9087	24.8676	2	NA	0	0	0	
0	17001	0.01	0.01	0	1	1	9150	0	0.830032	-1.3666	1	0	Sp2	28.6139	54.6581	22.5426	2	NA	0	0	0	
0	17501	0.01	0.01	0	1	1	9435	0	0.156945	-0.0304891	1	1	Sp1	59.8062	94.8305	95.4269	0	Sp2	20.0552	55.54	21.5981	
0	18001	0.01	0.01	0	1	0	9746	0	3.10199e-07	-1.83573e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	18501	0.01	0.01	0	1	0	10032	-0.5	0.587587	-1.24522	0	2	NA	0	0	0	1	Sp2	77.9385	47.4728	53.7058	
0	19001	0.01	0.01	0	1	0	10327	0	2.85505e-07	-1.96144e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	19501	0.01	0.01	0	1	1	10633	0	0.555265	0.599405	0	0	Sp1	27.5792	13.1863	84.0893	2	NA	0	0	0	
0	20001	0.01	0.01	0	1	0	10915	0	2.91623e-07	-1.96878e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	20501	0.01	0.01	0	1	0	11199	-0.5	0.368476	0.793727	1	2	NA	0	0	0	1	Sp1	61.552	94.6386	94.2867	
0	21001	0.01	0.01	0	1	1	11480	0	0.630673	1.31531	0	1	Sp2	78.4464	46.5273	53.29	2	NA	0	0	0	
0	21501	0.01	0.01	0	1	0	11754	0	0.490746	-0.523634	0	2	NA	0	0	0	0	Sp1	18.3057	11.5208	83.7397	
0	22001	0.01	0.01	0	1	0	12061	0	3.5313e-07	-1.1246e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	22501	0.01	0.01	0	1	1	12338	0	0.586954	0.692533	0	0	Sp1	28.3858	12.8661	83.7467	2	NA	0	0	0	
0	23001	0.01	0.01	0	1	1	12620	0	0.948423	1.80846	0	0	Sp2	26.7655	54.5429	23.4411	2	NA	0	0	0	
0	23501	0.01	0.01	0	1	1	12890	0	0.726512	1.3381	0	0	Sp2	33.8981	56.143	21.4752	2	NA	0	0	0	
0	24001	0.01	0.01	0	1	0	13167	0	-1.34102e-08	-7.7399e-07	0	2	NA	0	0	0	2	NA	0	0	0	
0	24501	0.01	0.01	0	1	0	13467	0	-4.81588e-08	-1.16921e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	25001	0.01	0.01	0	1	0	13755	0	2.06571e-07	-1.2223e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	25501	0.01	0.01	0	1	0	14060	0	-3.43057e-08	-1.04633e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	26001	0.01	0.01	0	1	0	14359	0	0.459429	0.48771	1	2	NA	0	0	0	0	Sp1	41.6966	11.9521	85.1534	
0	26501	0.01	0.01	0	1	0	14643	0	1.80865e-07	-7.41407e-07	1	2	NA	0	0	0	2	NA	0	0	0	
0	27001	0.01	0.01	0	1	0	14945	0	0.433555	-0.747429	0	2	NA	0	0	0	0	Sp2	61.4872	54.6605	24.9209	
0	27501	0.01	0.01	0	1	1	15252	0	0.621088	-1.42516	1	1	Sp2	63.0933	46.4833	53.087	2	NA	0	0	0	
0	28001	0.01	0.01	0	1	0	15561	0	1.98331e-07	-3.10336e-07	1	2	NA	0	0	0	2	NA	0	0	0	
0	28501	0.01	0.01	0	1	1	15856	0	0.718909	-0.875153	1	0	Sp1	31.4035	10.3428	81.3744	2	NA	0	0	0	
0	29001	0.01	0.01	0	1	0	16162	0	7.30558e-08	-5.68018e-07	1	2	NA	0	0	0	2	NA	0	0	0	
0	29501	0.01	0.01	0	1	0	16442	0	0.832593	1.47435	1	2	NA	0	0	0	0	Sp2	42.2368	54.0511	23.4051	
0	30001	0.01	0.01	0	1	1	16742	-0.5	0.101539	-0.00133458	1	1	Sp1	60.0061	93.3234	94.7134	1	Sp2	72.5155	45.3951	53.7474	
0	30501	0.01	0.01	0	1	1	17036	0	0.720442	-1.24736	1	0	Sp2	55.1742	54.7598	22.7756	2	NA	0	0	0	
0	31001	0.01	0.01	0	1	0	17316	-0.5	0.575606	-1.29652	0	2	NA	0	0	0	1	Sp2	58.3331	45.0954	55.1199	
0	31501	0.01	0.01	0	1	1	17623	0	0.865557	1.92329	0	0	Sp2	28.728	56.3378	22.6307	2	NA	0	0	0	
0	32001	0.01	0.01	0	1	1	17918	0	0.828721	1.50645	0	0	Sp2	49.6621	53.9416	21.6605	2	NA	0	0	0	
0	32501	0.01	0.01	0	1	1	18201	0	0.284055	0.0532069	0	1	Sp2	69.1825	46.6407	54.0033	0	Sp2	44.7706	55.8196	23.5012	
0	33001	0.01	0.01	0	1	1	18480	0	0.548476	-0.688663	1	0	Sp1	36.0166	11.7165	84.2903	2	NA	0	0	0	
0	33501	0.01	0.01	0	1	1	18766	0	0.128711	-0.022516	1	1	Sp1	70.0712	94.81	93.2103	0	Sp1	31.3543	12.8229	83.7947	
0	34001	0.01	0.01	0	1	1	19092	0	0.395565	-0.928262	1	1	Sp1	84.9806	94.2459	92.9632	2	NA	0	0	0	
0	34501	0.01	0.01	0	1	0	19384	0	2.94513e-07	-7.48439e-07	0	2	NA	0	0	0	2	NA	0	0	0	
0	35001	0.01	0.01	0	1	0	19674	0	4.38235e-07	-9.55731e-07	1	2	NA	0	0	0	2	NA	0	0	0	
0	35501	0.01	0.01	0	1	1	19967	0	0.690122	-1.64324	1	1	Sp2	55.1479	46.56	53.7098	2	NA	0	0	0	
0	36001	0.01	0.01	0	1	1	20276	0	0.75979	1.55172	0	1	Sp1	73.296	93.8893	93.525	2	NA	0	0	0	
0	36501	0.01	0.01	0	1	0	20579	0	1.35586e-07	-3.61136e-07	1	2	NA	0	0	0	2	NA	0	0	0	
0	37001	0.01	0.01	0	1	1	20869	0	0.785731	1.95307	0	1	Sp2	71.4633	45.075	53.9925	2	NA	0	0	0	
0	37501	0.01	0.01	0	1	0	21162	0	1.54031e-07	-4.13936e-07	0	2	NA	0	0	0	2	NA	0	0	0	
0	38001	0.01	0.01	0	1	1	21466	0	0.701395	1.77505	0	1	Sp2	81.9489	47.2818	53.0795	2	NA	0	0	0	
0	38501	0.01	0.01	0	1	0	21755	0	0.648	0.797672	1	2	NA	0	0	0	0	Sp1	46.0938	11.717	82.2066	
0	39001	0.01	0.01	0	1	1	22051	0	0.683521	1.55608	0	1	Sp2	59.6881	46.3719	54.4821	2	NA	0	0	0	
0	39501	0.01	0.01	0	1	1	22356	0	0.473551	1.22657	0	1	Sp2	85.7931	45.1598	53.8089	2	NA	0	0	0	
0	40001	0.01	0.01	0	1	1	22680	-0.5	0.111937	-0.0230594	0	0	Sp1	39.9058	10.7195	82.4699	1	Sp2	54.9552	43.4472	52.9035	
0	40501	0.01	0.01	0	1	1	22966	0	0.551024	1.32912	0	1	Sp1	54.5322	95.858	92.6448	2	NA	0	0	0	
0	41001	0.01	0.01	0	1	1	23292	0	0.251608	-0.00422946	1	0	Sp1	48.3165	12.249	82.9151	0	Sp2	33.1514	53.9847	22.6248	
0	41501	0.01	0.01	0	1	0	23614	0	1.38193e-07	-9.05989e-07	0	2	NA	0	0	0	2	NA	0	0	0	
0	42001	0.01	0.01	0	1	0	23924	-0.5	0.577974	-1.32353	0	2	NA	0	0	0	1	Sp1	50.9028	95.0956	92.8943	
0	42501	0.01	0.01	0	1	1	24226	0	0.667961	1.61494	0	0	Sp2	15.2608	54.0329	21.7357	2	NA	0	0	0	
0	43001	0.01	0.01	0	1	1	24530	-0.5	0.110963	-0.00166652	0	1	Sp1	67.2449	94.1602	93.3052	1	Sp1	66.121	94.3978	94.5513	
0	43501	0.01	0.01	0	1	1	24826	0	0.626206	-0.766845	1	0	Sp1	45.25	10.9746	83.6633	2	NA	0	0	0	
0	44001	0.01	0.01	0	1	1	25117	0	0.801854	1.72697	0	1	Sp2	49.4627	46.3169	53.6582	2	NA	0	0	0	
0	44501	0.01	0.01	0	1	1	25415	0	0.648024	-1.62737	1	1	Sp1	68.4141	92.294	94.3731	2	NA	0	0	0	
0	45001	0.01	0.01	0	1	1	25715	0	0.232306	-0.0038927	1	0	Sp1	35.3331	12.4855	84.6356	0	Sp2	44.4616	54.6097	23.7232	
0	45501	0.01	0.01	0	1	0	26035	0	3.5396e-07	-1.65857e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	46001	0.01	0.01	0	1	0	26342	0	2.53107e-07	-1.93826e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	46501	0.01	0.01	0	1	1	26650	-0.5	0.179074	0.02723	1	0	Sp1	41.7942	11.8654	80.8132	1	Sp2	71.4954	44.2325	54.2728	
0	47001	0.01	0.01	0	1	1	26972	0	0.632317	1.52739	0	1	Sp1	63.2057	93.9194	94.0323	2	NA	0	0	0	
0	47501	0.01	0.01	0	1	1	27271	0	0.854339	-2.20826	1	0	Sp2	32.3422	54.8961	20.9898	2	NA	0	0	0	
0	48001	0.01	0.01	0	1	0	27585	0	9.77399e-08	-1.56386e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	48501	0.01	0.01	0	1	1	27905	0	0.918353	-2.38588	1	0	Sp2	21.6382	55.7483	22.8412	2	NA	0	0	0	
0	49001	0.01	0.01	0	1	1	28211	0	0.423286	-0.095903	1	1	Sp1	70.2846	94.8124	93.8916	0	Sp2	33.4908	54.9217	22.7533	
0	49501	0.01	0.01	0	1	1	28550	0	0.843213	-1.3601	1	0	Sp1	25.1682	12.0461	82.8026	2	NA	0	0	0	
0	50001	0.01	0.01	0	1	1	28865	0	0.225302	-0.047354	1	1	Sp1	50.1023	93.489	94.9849	0	Sp2	43.5435	55.8789	21.8284	
0	50501	0.01	0.01	0	1	1	29178	0	0.679678	-0.00202784	1	0	Sp2	44.787	56.7208	23.3557	0	Sp2	28.3994	54.5639	23.5775	
0	51001	0.01	0.01	0	1	0	29502	0	2.22109e-08	-1.38745e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	51501	0.01	0.01	0	1	1	29823	0	0.558851	1.40277	0	1	Sp1	58.2237	92.9401	93.3271	2	NA	0	0	0	
0	52001	0.01	0.01	0	1	1	30144	0	0.735364	1.83563	0	1	Sp2	58.7432	46.1581	55.0626	2	NA	0	0	0	
0	52501	0.01	0.01	0	1	0	30458	0	-1.65722e-08	-1.00043e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	53001	0.01	0.01	0	1	1	30784	0	0.214793	0.0461793	0	1	Sp1	59.5093	93.1352	94.6772	0	Sp2	55.1764	54.1225	23.4283	
0	53501	0.01	0.01	0	1	0	31100	0	9.96406e-08	-4.63924e-07	0	2	NA	0	0	0	2	NA	0	0	0	
0	54001	0.01	0.01	0	1	1	31386	0	0.781824	-1.31882	1	0	Sp1	26.7796	9.88881	84.9799	2	NA	0	0	0	
0	54501	0.01	0.01	0	1	0	31698	0	1.40273e-07	-5.27522e-07	0	2	NA	0	0	0	2	NA	0	0	0	
0	55001	0.01	0.01	0	1	0	31991	0	6.43895e-08	-1.80211e-07	1	2	NA	0	0	0	2	NA	0	0	0	
0	55501	0.01	0.01	0	1	1	32314	0	0.684714	1.15384	0	0	Sp1	36.777	11.7556	82.8144	2	NA	0	0	0	
0	56001	0.01	0.01	0	1	0	32644	0	1.3063e-07	-3.72242e-07	1	2	NA	0	0	0	2	NA	0	0	0	
0	56501	0.01	0.01	0	1	1	32949	0	0.126623	-0.0215278	1	1	Sp1	60.2338	94.3525	94.5366	0	Sp1	37.1493	12.0486	83.1835	
0	57001	0.01	0.01	0	1	0	33271	0	5.62949e-08	-1.06285e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	57501	0.01	0.01	0	1	0	33572	0	1.09745e-07	-1.18868e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	58001	0.01	0.01	0	1	1	33871	-0.5	0.251157	-0.0506291	0	0	Sp1	23.9342	10.9501	82.3269	1	Sp2	57.306	47.1229	53.4849	
0	58501	0.01	0.01	0	1	1	34186	0	0.880642	-2.41909	1	1	Sp2	67.7389	47.3779	55.6717	2	NA	0	0	0	
0	59001	0.01	0.01	0	1	0	34510	0	0.320832	0.534379	1	2	NA	0	0	0	0	Sp1	9.55026	11.8264	83.4398	
0	59501	0.01	0.01	0	1	0	34832	0	5.64803e-07	-1.10668e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	60001	0.01	0.01	0	1	0	35147	0	3.09337e-07	-1.20804e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	60501	0.01	0.01	0	1	1	35470	0	0.768397	1.95138	0	1	Sp1	64.326	95.5153	93.5681	2	NA	0	0	0	
0	61001	0.01	0.01	0	1	1	35789	-0.5	0.169205	-0.00755888	1	1	Sp2	44.256	46.3171	53.7867	1	Sp1	74.869	93.3088	93.6623	
0	61501	0.01	0.01	0	1	0	36103	0	3.01504e-07	-1.1089e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	62001	0.01	0.01	0	1	1	36432	0	0.398136	0.0977031	0	1	Sp2	65.7659	45.9094	54.8528	0	Sp2	41.5008	55.2784	23.7062	
0	62501	0.01	0.01	0	1	0	36744	0	2.88384e-07	-9.02627e-07	1	2	NA	0	0	0	2	NA	0	0	0	
0	63001	0.01	0.01	0	1	1	37066	0	0.971766	2.50667	0	1	Sp1	72.8182	94.4442	94.5641	2	NA	0	0	0	
0	63501	0.01	0.01	0	1	0	37375	0	2.50825e-07	-1.47877e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	64001	0.01	0.01	0	1	0	37688	0	3.11094e-07	-1.5016e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	64501	0.01	0.01	0	1	0	38015	0	2.61227e-07	-1.48029e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	65001	0.01	0.01	0	1	0	38309	0	3.76963e-07	-1.388e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	65501	0.01	0.01	0	1	1	38638	0	0.983006	-2.50101	1	0	Sp2	47.0608	53.544	23.1798	2	NA	0	0	0	
0	66001	0.01	0.01	0	1	1	38965	0	0.942041	2.33218	0	1	Sp2	53.4894	45.9989	52.9124	2	NA	0	0	0	
0	66501	0.01	0.01	0	1	0	39287	0	1.6148e-07	-1.54712e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	67001	0.01	0.01	0	1	1	39584	-0.5	0.125984	0.0229048	1	0	Sp1	41.4202	12.6418	83.6017	1	Sp1	60.0548	94.3368	94.2037	
0	67501	0.01	0.01	0	1	1	39896	0	0.972516	-2.91117	1	1	Sp2	74.3082	45.8535	54.6217	2	NA	0	0	0	
0	68001	0.01	0.01	0	1	1	40201	0	0.879194	1.77833	0	0	Sp1	23.591	11.524	82.7342	2	NA	0	0	0	
0	68501	0.01	0.01	0	1	1	40525	0	0.271757	0.00096176	1	0	Sp1	28.4838	10.4006	83.2304	0	Sp1	21.7261	12.0456	82.3559	
