Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0	1	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0	1	0.929586	233.454	0	0.00868864	0.00443312	0	0	Sp1	36.312	40.1647	85.0514	2	NA	0	0	0	
0	1001	0.01	0.01	0	1	0.530569	451.481	-0.5	0.000999558	-0.000358166	0	0	Sp1	19.0096	40.5008	85.4524	1	Sp3	51.8999	66.5575	38.3716	
0	1501	0.01	0.01	0	1	0	660.034	0	0.0534432	0.0309502	1	2	NA	0	0	0	0	Sp2	41.7088	44.5298	8.12482	
0	2001	0.01	0.01	0	1	0.936273	863.626	0	0.00962975	0.00233588	0	1	Sp1	45.2567	76.8446	18.0272	0	Sp2	35.239	43.9042	6.65347	
0	2501	0.01	0.01	0	1	0	1094.43	0	3.05782e-05	1.86413e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	3001	0.01	0.01	0	1	1.01051	1318.81	0	0.0147276	-0.000598748	1	0	Sp3	51.8793	82.0715	16.8869	0	Sp3	53.9507	83.1755	15.6411	
0	3501	0.01	0.01	0	1	0.75453	1558.08	0	0.014734	-0.000819169	1	0	Sp3	44.4145	83.2107	15.0684	0	Sp3	47.1419	83.2706	16.611	
0	4001	0.01	0.01	0	1	1.34224	1789.96	0	0.01419	-0.00359944	1	1	Sp2	64.0602	97.8284	22.8119	0	Sp2	42.7854	45.7787	7.60385	
0	4501	0.01	0.01	0	1	1.09322	2014.26	0	0.00466497	0.00156889	0	1	Sp2	55.645	96.2608	21.4395	0	Sp1	10.7315	39.323	83.8009	
0	5001	0.01	0.01	0	1	1.497	2249.88	0	0.342451	-0.412154	1	1	Sp2	73.8847	94.2631	22.0478	2	NA	0	0	0	
0	5501	0.01	0.01	0	1	1.08245	2494.69	0	0.347759	-0.324366	1	1	Sp1	48.23	75.0392	18.4381	2	NA	0	0	0	
0	6001	0.01	0.01	0	1	0.802455	2728.29	0	0.0175668	-0.00303133	1	0	Sp3	38.8406	84.2524	14.6108	0	Sp2	36.4296	43.9338	7.09281	
0	6501	0.01	0.01	0	1	0	2974.25	-0.5	0.313492	0.330752	1	2	NA	0	0	0	1	Sp2	83.2176	96.3205	23.5185	
