Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0.8	1	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0.8	1	0	234.631	0	0.00285266	0.000373962	1	2	NA	0	0	0	2	NA	0	0	0	
0	1001	0.01	0.01	0.8	1	0	470.128	0	0.00929035	-0.000286628	1	2	NA	0	0	0	2	NA	0	0	0	
0	1501	0.01	0.01	0.8	1	0.97565	693.736	0	0.0471056	-0.0332641	1	0	Sp4	46.4935	68.3758	15.5141	2	NA	0	0	0	
0	2001	0.01	0.01	0.8	1	0	911.409	0	0.0510433	0.0309896	1	2	NA	0	0	0	0	Sp1	51.6402	14.5116	34.64	
0	2501	0.01	0.01	0.8	1	0	1124.99	0	0.0975103	-0.0541484	0	2	NA	0	0	0	0	Sp2	31.3204	0.403296	14.9781	
0	3001	0.01	0.01	0.8	1	0.871497	1348.44	0	0.100222	0.0541897	0	0	Sp3	35.6436	51.5238	61.5548	2	NA	0	0	0	
0	3501	0.01	0.01	0.8	1	1.44647	1565.6	0	0.121545	-0.100407	1	1	Sp4	63.6072	82.968	30.2685	2	NA	0	0	0	
0	4001	0.01	0.01	0.8	1	0.849075	1787.66	0	0.152223	-0.0859102	1	0	Sp2	36.642	0	16.4118	2	NA	0	0	0	
0	4501	0.01	0.01	0.8	1	0.602092	1995.76	-0.5	0.013572	0.00597173	1	0	Sp1	25.6141	14.5332	33.2589	1	Sp2	78.7756	95.9817	14.562	
0	5001	0.01	0.01	0.8	1	0	2223.38	0	0.0628549	0.00330726	0	2	NA	0	0	0	2	NA	0	0	0	
0	5501	0.01	0.01	0.8	1	0	2444.57	0	0.109358	-0.0777438	0	2	NA	0	0	0	0	Sp4	40.1484	65.8996	16.1897	
0	6001	0.01	0.01	0.8	1	0.44802	2659.86	0	0.285957	0.173639	0	0	Sp2	26.2817	1.54111	16.4169	2	NA	0	0	0	
0	6501	0.01	0.01	0.8	1	0.26437	2886.04	-0.5	0.0313827	-0.0272415	0	0	Sp2	12.5045	0.431957	15.908	1	Sp1	66.8964	33.5596	46.4133	
0	7001	0.01	0.01	0.8	1	0	3094.11	0	0.0810642	-0.0112305	0	2	NA	0	0	0	2	NA	0	0	0	
0	7501	0.01	0.01	0.8	1	0.822137	3327.57	0	0.224881	0.140796	0	0	Sp3	43.06	48.9173	61.6888	2	NA	0	0	0	
0	8001	0.01	0.01	0.8	1	0	3546.35	0	0.101771	-0.0125744	0	2	NA	0	0	0	2	NA	0	0	0	
0	8501	0.01	0.01	0.8	1	0	3765.97	0	0.112181	-0.013261	1	2	NA	0	0	0	2	NA	0	0	0	
0	9001	0.01	0.01	0.8	1	0.779761	4002.6	0	0.0132592	-0.000867949	1	0	Sp1	32.9785	14.188	34.3806	0	Sp1	19.0669	13.1777	35.2614	
0	9501	0.01	0.01	0.8	1	0	4242.91	0	0.225143	-0.141431	0	2	NA	0	0	0	0	Sp3	35.5479	50.7449	62.8624	
0	10001	0.01	0.01	0.8	1	0	4482.86	-0.5	0.269493	-0.28232	0	2	NA	0	0	0	1	Sp2	77.2409	96.4383	12.7254	
0	10501	0.01	0.01	0.8	1	0.745065	4722.97	0	0.0151388	0.000519014	0	0	Sp4	33.7892	66.7199	15.352	0	Sp1	25.1652	15.3027	34.7997	
0	11001	0.01	0.01	0.8	1	0.877498	4964.92	0	0.219003	0.137088	0	0	Sp4	33.4674	67.4672	13.8943	2	NA	0	0	0	
0	11501	0.01	0.01	0.8	1	0	5198.57	0	0.151442	-0.0212602	1	2	NA	0	0	0	2	NA	0	0	0	
0	12001	0.01	0.01	0.8	1	0	5439.95	0	0.146154	-0.0234647	1	2	NA	0	0	0	2	NA	0	0	0	
0	12501	0.01	0.01	0.8	1	0.306667	5667.5	0	0.235573	0.134638	0	0	Sp4	22.2173	65.8352	14.6156	2	NA	0	0	0	
0	13001	0.01	0.01	0.8	1	0	5901.29	0	0.165272	-0.0240019	0	2	NA	0	0	0	2	NA	0	0	0	
0	13501	0.01	0.01	0.8	1	0	6121.31	0	0.289521	0.199765	1	2	NA	0	0	0	0	Sp1	21.1115	14.3557	34.0142	
0	14001	0.01	0.01	0.8	1	1.24706	6360.8	0	0.267846	0.242896	0	1	Sp3	64.2737	79.9974	86.1982	2	NA	0	0	0	
0	14501	0.01	0.01	0.8	1	0	6582.63	0	0.354896	0.227106	1	2	NA	0	0	0	0	Sp3	28.4747	50.661	61.803	
0	15001	0.01	0.01	0.8	1	0.348955	6804.61	0	0.300625	0.189789	0	0	Sp3	18.5888	49.5594	60.7241	2	NA	0	0	0	
0	15501	0.01	0.01	0.8	1	0	7036.4	0	0.458294	-0.307894	0	2	NA	0	0	0	0	Sp2	40.2729	2.04692	15.8056	
0	16001	0.01	0.01	0.8	1	0	7271.39	0	0.200168	-0.0356354	1	2	NA	0	0	0	2	NA	0	0	0	
0	16501	0.01	0.01	0.8	1	0.377106	7518.17	0	0.0349185	0.00403751	0	0	Sp4	17.6487	64.9771	14.9706	0	Sp2	27.4729	0.177836	15.6864	
0	17001	0.01	0.01	0.8	1	0	7759.79	0	0.222639	-0.163403	0	2	NA	0	0	0	0	Sp3	14.1173	49.3724	63.3341	
0	17501	0.01	0.01	0.8	1	0	8009.29	0	0.195787	-0.0409377	1	2	NA	0	0	0	2	NA	0	0	0	
0	18001	0.01	0.01	0.8	1	0	8242.15	0	0.214961	-0.0369274	0	2	NA	0	0	0	2	NA	0	0	0	
