Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0.8	0	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0.8	0	1	249	0	0.00304716	-0.00056157	1	0	Sp3	73.2852	27.3352	85.6333	0	Sp4	65.7863	2.21392	38.8827	
0	1001	0.01	0.01	0.8	0	0	512	-0.5	0.0590933	-0.0276405	0	2	NA	0	0	0	1	Sp3	4.65911	19.6701	18.5854	
0	1501	0.01	0.01	0.8	0	1	761	0	0.0905576	0.044393	0	0	Sp3	75.2831	28.691	86.1314	2	NA	0	0	0	
0	2001	0.01	0.01	0.8	0	0	1023	0	0.115859	0.0574344	1	2	NA	0	0	0	0	Sp1	72.6132	36.7315	58.5647	
0	2501	0.01	0.01	0.8	0	1	1289	0	0.00941615	0.000131411	0	1	Sp5	19.4613	84.9974	96.895	0	Sp1	73.9011	36.8539	56.8619	
0	3001	0.01	0.01	0.8	0	1	1561	0	0.0135691	0.000561361	1	0	Sp1	72.0513	34.2797	55.1711	0	Sp4	66.8678	2.76221	40.2976	
0	3501	0.01	0.01	0.8	0	1	1797	0	0.0864546	0.038064	0	1	Sp5	20.339	84.2421	97.1177	2	NA	0	0	0	
0	4001	0.01	0.01	0.8	0	1	2037	0	0.0174633	-0.000322807	0	0	Sp3	74.3557	29.4686	86.8838	0	Sp5	33.1254	69.5172	34.4313	
0	4501	0.01	0.01	0.8	0	0	2275	0	0.176853	-0.0923155	0	2	NA	0	0	0	0	Sp2	12.3895	94.5687	56.2994	
0	5001	0.01	0.01	0.8	0	0	2516	0	0.239472	0.125318	1	2	NA	0	0	0	0	Sp2	9.93097	93.9736	56.4935	
0	5501	0.01	0.01	0.8	0	1	2767	0	0.0290409	-0.000382634	1	0	Sp1	72.3776	37.0219	57.7895	0	Sp5	32.9445	73.8923	33.6448	
0	6001	0.01	0.01	0.8	0	0	3021	0	0.138311	0.0161776	0	2	NA	0	0	0	2	NA	0	0	0	
0	6501	0.01	0.01	0.8	0	0	3280	0	0.344163	0.199499	1	2	NA	0	0	0	0	Sp5	31.9545	74.3119	34.3884	
0	7001	0.01	0.01	0.8	0	0	3536	0	0.152422	0.0258664	1	2	NA	0	0	0	2	NA	0	0	0	
0	7501	0.01	0.01	0.8	0	0	3797	-0.5	0.23591	0.112543	1	2	NA	0	0	0	1	Sp3	5.31316	16.6924	19.7292	
0	8001	0.01	0.01	0.8	0	1	4062	0	0.352528	0.198317	0	0	Sp2	11.9189	96.4092	55.6454	2	NA	0	0	0	
0	8501	0.01	0.01	0.8	0	0	4309	0	0.185703	0.0300692	1	2	NA	0	0	0	2	NA	0	0	0	
0	9001	0.01	0.01	0.8	0	1	4575	0	0.399383	0.239598	0	0	Sp4	67.8496	3.2374	40.6009	2	NA	0	0	0	
0	9501	0.01	0.01	0.8	0	1	4846	0	0.575813	-0.344536	1	0	Sp3	73.5715	26.5792	86.2364	2	NA	0	0	0	
0	10001	0.01	0.01	0.8	0	1	5110	0	0.464178	0.262771	0	0	Sp1	72.5578	36.837	57.1232	2	NA	0	0	0	
0	10501	0.01	0.01	0.8	0	0	5363	0	0.232641	0.0247318	1	2	NA	0	0	0	2	NA	0	0	0	
0	11001	0.01	0.01	0.8	0	0	5612	0	0.244511	0.017865	1	2	NA	0	0	0	2	NA	0	0	0	
0	11501	0.01	0.01	0.8	0	0	5871	0	0.438978	0.257066	1	2	NA	0	0	0	0	Sp2	10.4575	94.9077	56.2763	
0	12001	0.01	0.01	0.8	0	0	6136	0	0.232583	0.010123	1	2	NA	0	0	0	2	NA	0	0	0	
0	12501	0.01	0.01	0.8	0	0	6407	-0.5	0.270024	-0.144335	0	2	NA	0	0	0	1	Sp4	40.4093	57.1947	35.061	
0	13001	0.01	0.01	0.8	0	0	6670	0	0.28609	0.00267271	1	2	NA	0	0	0	2	NA	0	0	0	
0	13501	0.01	0.01	0.8	0	0	6932	0	0.267092	-0.000395114	1	2	NA	0	0	0	2	NA	0	0	0	
0	14001	0.01	0.01	0.8	0	1	7177	-0.5	0.0881921	-0.0287829	1	0	Sp3	73.5971	28.9499	86.1465	1	Sp3	4.12326	16.8117	18.4359	
0	14501	0.01	0.01	0.8	0	1	7451	0	0.110548	0.0104571	0	0	Sp1	73.9254	37.3625	55.5759	0	Sp5	32.1257	74.4999	32.2226	
0	15001	0.01	0.01	0.8	0	1	7712	0	0.29517	0.130926	0	1	Sp2	83.1619	80.4016	86.1166	2	NA	0	0	0	
0	15501	0.01	0.01	0.8	0	0	7955	0	0.301763	-0.0156528	1	2	NA	0	0	0	2	NA	0	0	0	
0	16001	0.01	0.01	0.8	0	1	8227	0	0.327823	0.143975	0	1	Sp2	83.0762	79.6232	86.4448	2	NA	0	0	0	
0	16501	0.01	0.01	0.8	0	0	8506	0	0.797454	0.54383	1	2	NA	0	0	0	0	Sp3	73.2545	28.4984	85.1034	
0	17001	0.01	0.01	0.8	0	0	8784	0	0.734315	-0.488248	0	2	NA	0	0	0	0	Sp1	73.6193	35.2275	56.122	
0	17501	0.01	0.01	0.8	0	0	9057	0	0.667221	-0.448099	0	2	NA	0	0	0	0	Sp1	73.1965	36.9912	58.6611	
0	18001	0.01	0.01	0.8	0	0	9321	-0.5	0.399865	-0.206058	0	2	NA	0	0	0	1	Sp5	17.9259	86.6908	97.343	
0	18501	0.01	0.01	0.8	0	0	9588	0	0.333068	-0.000540226	0	2	NA	0	0	0	2	NA	0	0	0	
0	19001	0.01	0.01	0.8	0	1	9864	0	0.13254	0.0733808	1	1	Sp1	12.9881	13.0176	2.47106	0	Sp2	10.9401	92.0898	56.3624	
0	19501	0.01	0.01	0.8	0	1	10124	-0.5	0.0179605	-0.000686223	0	1	Sp4	39.6478	57.0746	33.7118	1	Sp4	39.9118	57.0638	36.367	
0	20001	0.01	0.01	0.8	0	0	10396	-0.5	0.373797	-0.153203	0	2	NA	0	0	0	1	Sp1	13.3958	12.7062	1.98748	
0	20501	0.01	0.01	0.8	0	1	10667	0	0.670858	0.45293	0	0	Sp4	66.5235	3.50651	40.0333	2	NA	0	0	0	
0	21001	0.01	0.01	0.8	0	0	10957	-0.5	0.557754	0.311053	1	2	NA	0	0	0	1	Sp3	5.25394	17.5051	17.5819	
0	21501	0.01	0.01	0.8	0	0	11224	0	1.02112	0.747727	1	2	NA	0	0	0	0	Sp5	29.2036	72.1582	32.9934	
0	22001	0.01	0.01	0.8	0	1	11484	0	0.449062	-0.214588	1	1	Sp2	82.4143	80.3128	88.5409	2	NA	0	0	0	
0	22501	0.01	0.01	0.8	0	0	11746	0	1.0031	-0.721158	0	2	NA	0	0	0	0	Sp3	75.5966	26.0868	86.1973	
0	23001	0.01	0.01	0.8	0	0	12016	0	0.832027	0.568582	1	2	NA	0	0	0	0	Sp4	66.5046	1.9878	42.0755	
0	23501	0.01	0.01	0.8	0	0	12310	0	1.01534	0.778447	1	2	NA	0	0	0	0	Sp3	75.344	27.2826	85.5765	
0	24001	0.01	0.01	0.8	0	1	12568	0	0.801462	0.527052	0	0	Sp2	11.2685	94.707	55.8562	2	NA	0	0	0	
0	24501	0.01	0.01	0.8	0	1	12845	0	0.440398	0.197536	0	1	Sp2	82.1191	82.3943	88.3068	2	NA	0	0	0	
0	25001	0.01	0.01	0.8	0	1	13107	0	0.478582	0.182045	0	1	Sp1	13.8896	10.7592	1.76865	2	NA	0	0	0	
0	25501	0.01	0.01	0.8	0	1	13382	0	0.746506	0.383962	0	1	Sp5	19.4907	82.7572	98.4402	2	NA	0	0	0	
0	26001	0.01	0.01	0.8	0	1	13666	0	0.117867	-0.00820357	1	0	Sp4	65.3193	0.664415	38.2682	0	Sp3	76.5018	26.2138	86.6231	
0	26501	0.01	0.01	0.8	0	1	13944	0	1.14298	0.9042	0	0	Sp3	76.8154	26.5521	84.371	2	NA	0	0	0	
0	27001	0.01	0.01	0.8	0	1	14215	0	0.918074	0.681169	0	0	Sp1	72.7825	36.2715	57.9319	2	NA	0	0	0	
0	27501	0.01	0.01	0.8	0	1	14492	0	0.0477594	-0.00232549	0	1	Sp4	39.4753	57.8083	35.4763	0	Sp2	9.40066	94.4388	56.0447	
0	28001	0.01	0.01	0.8	0	0	14772	0	0.460052	-0.0431538	0	2	NA	0	0	0	2	NA	0	0	0	
0	28501	0.01	0.01	0.8	0	1	15044	-0.5	0.168703	0.0627724	1	1	Sp1	15.1852	13.2089	2.98668	1	Sp3	5.15373	19.0242	18.8957	
0	29001	0.01	0.01	0.8	0	1	15295	0	0.957305	-0.675274	1	0	Sp4	67.3063	2.47526	40.5481	2	NA	0	0	0	
0	29501	0.01	0.01	0.8	0	0	15572	-0.5	0.686834	0.365692	1	2	NA	0	0	0	1	Sp5	18.8721	86.0603	96.4901	
0	30001	0.01	0.01	0.8	0	1	15840	0	0.931194	-0.710238	1	0	Sp1	72.0495	36.7825	58.6557	2	NA	0	0	0	
0	30501	0.01	0.01	0.8	0	0	16101	0	1.0022	-0.726263	0	2	NA	0	0	0	0	Sp2	9.33484	95.1209	55.1673	
0	31001	0.01	0.01	0.8	0	0	16370	0	0.493765	-0.0343344	1	2	NA	0	0	0	2	NA	0	0	0	
0	31501	0.01	0.01	0.8	0	0	16642	0	0.528164	-0.0158182	0	2	NA	0	0	0	2	NA	0	0	0	
0	32001	0.01	0.01	0.8	0	1	16903	0	0.953788	-0.588754	1	1	Sp3	3.64528	18.3171	20.2083	2	NA	0	0	0	
0	32501	0.01	0.01	0.8	0	0	17181	0	0.902147	-0.655836	0	2	NA	0	0	0	0	Sp4	66.1525	1.67004	38.7292	
0	33001	0.01	0.01	0.8	0	1	17458	0	0.204031	0.0119641	0	0	Sp1	73.7173	37.9921	56.4002	0	Sp5	30.5375	70.9413	32.5314	
0	33501	0.01	0.01	0.8	0	1	17738	0	1.14695	-0.893	1	0	Sp5	31.0214	72.8342	35.3324	2	NA	0	0	0	
0	34001	0.01	0.01	0.8	0	1	18017	0	0.899634	-0.49991	1	1	Sp5	19.7175	84.173	96.8592	2	NA	0	0	0	
0	34501	0.01	0.01	0.8	0	1	18292	0	0.651013	0.292175	0	1	Sp1	14.231	13.3473	0	2	NA	0	0	0	
0	35001	0.01	0.01	0.8	0	1	18592	0	1.0185	-0.785337	1	0	Sp2	9.97792	96.176	56.5631	2	NA	0	0	0	
0	35501	0.01	0.01	0.8	0	0	18873	0	1.04116	-0.806465	0	2	NA	0	0	0	0	Sp2	10.1476	96.1829	56.297	
0	36001	0.01	0.01	0.8	0	1	19138	0	1.10402	-0.82774	1	0	Sp4	67.8606	3.01342	39.867	2	NA	0	0	0	
0	36501	0.01	0.01	0.8	0	1	19415	-0.5	0.0298991	-0.00483504	0	1	Sp5	18.8457	85.0573	96.8472	1	Sp2	83.0506	80.346	87.1499	
0	37001	0.01	0.01	0.8	0	1	19696	0	0.984695	0.798848	0	0	Sp4	66.2648	1.64386	39.9888	2	NA	0	0	0	
0	37501	0.01	0.01	0.8	0	1	19973	0	0.127211	-0.000313103	1	1	Sp4	39.32	57.6949	34.0925	0	Sp3	74.9725	27.6384	85.0575	
0	38001	0.01	0.01	0.8	0	1	20250	0	1.16172	-0.917656	1	0	Sp5	34.3469	75.2425	32.9418	2	NA	0	0	0	
0	38501	0.01	0.01	0.8	0	1	20526	0	1.20976	1.05442	0	0	Sp3	76.0686	28.7432	87.0327	2	NA	0	0	0	
0	39001	0.01	0.01	0.8	0	1	20811	0	1.33686	1.16194	0	0	Sp3	73.7772	29.4474	84.149	2	NA	0	0	0	
0	39501	0.01	0.01	0.8	0	0	21084	0	0.577535	0.0559749	0	2	NA	0	0	0	2	NA	0	0	0	
