Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0	0	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0	0	1	250	0	0.0411806	0.0210816	0	0	Sp2	36.624	97.4509	14.5768	2	NA	0	0	0	
0	1001	0.01	0.01	0	0	0	513	0	4.77286e-06	-5.56495e-07	1	2	NA	0	0	0	2	NA	0	0	0	
0	1501	0.01	0.01	0	0	0	775	0	5.65087e-06	-1.34422e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	2001	0.01	0.01	0	0	1	1019	-0.5	0.00568984	8.611e-05	1	0	Sp3	86.3028	50.1229	60.686	1	Sp1	44.5089	7.14919	66.1433	
0	2501	0.01	0.01	0	0	1	1271	0	0.00886502	0.000497322	1	0	Sp1	37.3668	81.8182	16.3979	0	Sp3	86.4391	50.349	61.7123	
0	3001	0.01	0.01	0	0	0	1510	0	3.79378e-06	-3.21423e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	3501	0.01	0.01	0	0	0	1771	0	5.45856e-06	-2.62684e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	4001	0.01	0.01	0	0	0	2041	0	4.87552e-06	-3.90221e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	4501	0.01	0.01	0	0	0	2301	0	0.196828	-0.119793	0	2	NA	0	0	0	0	Sp3	85.5479	52.9898	63.4607	
0	5001	0.01	0.01	0	0	1	2542	0	0.206102	0.126394	0	1	Sp3	1.22161	16.491	81.3994	2	NA	0	0	0	
0	5501	0.01	0.01	0	0	1	2801	-0.5	0.00819012	0.000253827	0	1	Sp1	44.1889	7.45857	65.8446	1	Sp2	33.7906	49.6924	16.3334	
0	6001	0.01	0.01	0	0	0	3063	0	4.06074e-06	-1.7042e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	6501	0.01	0.01	0	0	1	3314	0	0.0287872	-0.00213323	0	1	Sp3	3.3315	14.9144	82.231	0	Sp2	35.2227	96.634	13.62	
0	7001	0.01	0.01	0	0	1	3574	0	0.0286437	-0.00107979	0	0	Sp2	35.0905	95.9056	13.7717	0	Sp1	37.5553	82.3583	14.4246	
0	7501	0.01	0.01	0	0	0	3830	0	3.10573e-06	-1.78458e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	8001	0.01	0.01	0	0	0	4087	0	2.29399e-06	-2.5976e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	8501	0.01	0.01	0	0	1	4352	0	0.378455	-0.288157	1	0	Sp2	33.6047	95.2609	13.2693	2	NA	0	0	0	
0	9001	0.01	0.01	0	0	1	4599	0	0.0277957	-0.00137304	0	0	Sp1	36.6053	82.8677	16.4446	0	Sp1	37.756	84.2952	16.3157	
0	9501	0.01	0.01	0	0	1	4843	0	0.402302	-0.321151	1	0	Sp2	36.0833	97.425	14.9773	2	NA	0	0	0	
0	10001	0.01	0.01	0	0	0	5102	0	2.90111e-06	-3.8725e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	10501	0.01	0.01	0	0	1	5371	0	0.412227	0.365426	0	0	Sp2	35.8517	97.3407	13.7573	2	NA	0	0	0	
