Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.001	0.001	0.8	0	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.001	0.001	0.8	0	0	227	0	0.00029052	-2.14739e-05	0	2	NA	0	0	0	2	NA	0	0	0	
0	1001	0.001	0.001	0.8	0	0	496	0	0.00100406	-1.50607e-05	1	2	NA	0	0	0	2	NA	0	0	0	
0	1501	0.001	0.001	0.8	0	0	747	0	0.00219435	2.01171e-05	0	2	NA	0	0	0	2	NA	0	0	0	
0	2001	0.001	0.001	0.8	0	1	1006	0	0.0254117	-0.0126698	1	1	Sp1	77.6581	17.2106	40.7806	2	NA	0	0	0	
0	2501	0.001	0.001	0.8	0	1	1260	0	0.0840502	0.0431458	0	0	Sp1	86.3358	98.1067	23.2843	2	NA	0	0	0	
0	3001	0.001	0.001	0.8	0	0	1502	0	0.00935414	-0.000334579	0	2	NA	0	0	0	2	NA	0	0	0	
0	3501	0.001	0.001	0.8	0	0	1751	0	0.0121071	-0.000269774	1	2	NA	0	0	0	2	NA	0	0	0	
0	4001	0.001	0.001	0.8	0	1	1988	0	0.138196	0.0716509	0	0	Sp1	83.6654	96.6119	22.1809	2	NA	0	0	0	
0	4501	0.001	0.001	0.8	0	1	2243	0	0.1525	-0.0796481	1	0	Sp1	86.6258	97.34	21.9272	2	NA	0	0	0	
0	5001	0.001	0.001	0.8	0	1	2483	-0.5	0.029737	-0.000100545	0	0	Sp1	83.2964	97.1672	19.4995	1	Sp1	76.0936	16.7664	39.1681	
0	5501	0.001	0.001	0.8	0	0	2735	0	0.0283365	-0.000600362	1	2	NA	0	0	0	2	NA	0	0	0	
0	6001	0.001	0.001	0.8	0	1	2979	0	0.0781368	-0.000976989	1	0	Sp1	86.2105	96.2544	21.7241	0	Sp1	85.4656	96.9753	22.328	
0	6501	0.001	0.001	0.8	0	0	3213	0	0.0386887	-0.00102458	1	2	NA	0	0	0	2	NA	0	0	0	
0	7001	0.001	0.001	0.8	0	1	3476	0	0.234019	-0.126885	1	0	Sp1	85.965	97.1916	22.678	2	NA	0	0	0	
0	7501	0.001	0.001	0.8	0	1	3712	0	0.111826	-0.00120881	0	0	Sp1	85.1401	96.2679	22.1	0	Sp1	84.1251	98.1327	21.5923	
0	8001	0.001	0.001	0.8	0	0	3967	0	0.238197	0.129178	1	2	NA	0	0	0	0	Sp1	84.5554	95.5244	21.4165	
0	8501	0.001	0.001	0.8	0	1	4229	0	0.253133	0.138117	0	0	Sp1	85.3438	96.5269	21.5539	2	NA	0	0	0	
0	9001	0.001	0.001	0.8	0	0	4490	0	0.0627813	-0.00216347	1	2	NA	0	0	0	2	NA	0	0	0	
0	9501	0.001	0.001	0.8	0	1	4744	0	0.107538	0.0528976	0	1	Sp1	77.3182	17.8872	39.581	2	NA	0	0	0	
0	10001	0.001	0.001	0.8	0	0	4995	0	0.0728505	-0.00104656	0	2	NA	0	0	0	2	NA	0	0	0	
0	10501	0.001	0.001	0.8	0	1	5226	-0.5	0.0625844	-0.000896844	0	0	Sp1	86.1771	97.039	22.0257	1	Sp1	76.7519	18.0909	38.1531	
0	11001	0.001	0.001	0.8	0	1	5498	0	0.0673507	-0.00118698	1	1	Sp1	77.7896	16.6288	40.1247	0	Sp1	84.8699	96.3317	22.1565	
0	11501	0.001	0.001	0.8	0	1	5759	0	0.342007	0.193181	0	0	Sp1	85.5321	97.9504	21.7331	2	NA	0	0	0	
0	12001	0.001	0.001	0.8	0	0	5992	0	0.37682	-0.214564	0	2	NA	0	0	0	0	Sp1	83.8109	97.2871	20.6557	
0	12501	0.001	0.001	0.8	0	0	6225	-0.5	0.15803	-0.0788826	0	2	NA	0	0	0	1	Sp1	75.9506	19.4696	40.126	
0	13001	0.001	0.001	0.8	0	1	6468	0	0.151325	-0.0755177	1	1	Sp1	75.9079	17.9664	39.8629	2	NA	0	0	0	
0	13501	0.001	0.001	0.8	0	1	6713	0	0.184249	-0.0916621	1	1	Sp1	76.387	19.8203	41.5039	2	NA	0	0	0	
0	14001	0.001	0.001	0.8	0	0	6957	0	0.419135	-0.243495	0	2	NA	0	0	0	0	Sp1	85.516	97.1384	23.0517	
0	14501	0.001	0.001	0.8	0	1	7226	0	0.396858	-0.231603	1	0	Sp1	86.2678	97.2818	21.0201	2	NA	0	0	0	
0	15001	0.001	0.001	0.8	0	0	7496	-0.5	0.18591	0.0906446	1	2	NA	0	0	0	1	Sp1	75.3761	17.7046	39.8371	
0	15501	0.001	0.001	0.8	0	0	7767	0	0.450817	-0.266304	0	2	NA	0	0	0	0	Sp1	85.6582	97.2126	23.2628	
0	16001	0.001	0.001	0.8	0	0	8036	0	0.137742	-0.00311429	1	2	NA	0	0	0	2	NA	0	0	0	
0	16501	0.001	0.001	0.8	0	1	8272	0	0.19055	0.0930566	0	1	Sp1	75.7613	16.405	39.9025	2	NA	0	0	0	
0	17001	0.001	0.001	0.8	0	1	8530	0	0.539032	-0.32085	1	0	Sp1	83.8091	97.9791	22.6624	2	NA	0	0	0	
0	17501	0.001	0.001	0.8	0	0	8789	0	0.15572	-0.00438747	1	2	NA	0	0	0	2	NA	0	0	0	
0	18001	0.001	0.001	0.8	0	0	9077	0	0.160673	-0.00468126	0	2	NA	0	0	0	2	NA	0	0	0	
0	18501	0.001	0.001	0.8	0	1	9318	0	0.476433	-0.286645	1	0	Sp1	86.6337	98.5462	20.402	2	NA	0	0	0	
0	19001	0.001	0.001	0.8	0	0	9577	0	0.553733	0.328772	1	2	NA	0	0	0	0	Sp1	83.9285	96.3028	23.3705	
0	19501	0.001	0.001	0.8	0	1	9853	0	0.549217	-0.335117	1	0	Sp1	84.9298	98.083	21.5524	2	NA	0	0	0	
0	20001	0.001	0.001	0.8	0	1	10118	0	0.136033	-0.00225421	1	1	Sp1	77.2601	18.3268	39.1231	0	Sp1	84.8195	96.9381	21.6876	
0	20501	0.001	0.001	0.8	0	1	10394	-0.5	0.0571883	-0.00105597	0	1	Sp1	77.1003	19.1405	40.2322	1	Sp1	75.0842	18.6346	39.7151	
0	21001	0.001	0.001	0.8	0	1	10644	0	0.596071	0.359208	0	0	Sp1	84.4818	97.3254	22.5358	2	NA	0	0	0	
0	21501	0.001	0.001	0.8	0	0	10919	0	0.627563	-0.390052	0	2	NA	0	0	0	0	Sp1	82.6189	96.1471	21.8352	
0	22001	0.001	0.001	0.8	0	1	11183	0	0.238929	-0.116277	1	1	Sp1	76.8567	17.069	38.815	2	NA	0	0	0	
0	22501	0.001	0.001	0.8	0	0	11435	0	0.586758	0.355993	1	2	NA	0	0	0	0	Sp1	87.496	98.7984	23.5837	
