Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0	1	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0	1	1	260	0	0.00796463	-0.00119913	0	0	Sp1	15.6798	92.2102	93.7377	0	Sp1	15.4538	94.461	94.483	
0	1001	0.01	0.01	0	1	0	519	0	0.278979	0.185063	1	2	NA	0	0	0	0	Sp2	54.8557	54.018	23.9084	
0	1501	0.01	0.01	0	1	1	785	0	0.106756	0.0129227	0	0	Sp2	54.6651	55.5524	23.5169	0	Sp2	54.7612	54.1692	23.2483	
0	2001	0.01	0.01	0	1	0	1052	0	0.203956	0.120711	1	2	NA	0	0	0	0	Sp1	15.6267	93.4947	95.3161	
0	2501	0.01	0.01	0	1	0	1310	0	0.450056	-0.33076	0	2	NA	0	0	0	0	Sp2	51.7647	54.402	21.2394	
0	3001	0.01	0.01	0	1	1	1550	0	0.469594	0.473173	0	0	Sp2	53.0512	55.0556	22.6576	2	NA	0	0	0	
0	3501	0.01	0.01	0	1	0	1799	0	0.298652	0.202494	1	2	NA	0	0	0	0	Sp1	14.3295	94.1076	93.9299	
0	4001	0.01	0.01	0	1	1	2067	0	0.0553641	0.00786222	0	1	Sp1	16.8637	69.9337	57.0178	0	Sp1	16.0614	92.1289	93.8584	
0	4501	0.01	0.01	0	1	0	2337	0	2.69325e-09	4.87257e-09	0	2	NA	0	0	0	2	NA	0	0	0	
0	5001	0.01	0.01	0	1	1	2600	0	0.662491	-0.705245	1	0	Sp2	52.5507	54.5298	22.8471	2	NA	0	0	0	
0	5501	0.01	0.01	0	1	0	2870	0	0.626809	0.816842	1	2	NA	0	0	0	0	Sp2	54.2184	53.9546	23.419	
0	6001	0.01	0.01	0	1	0	3135	0	0.415696	0.344923	1	2	NA	0	0	0	0	Sp1	15.8693	95.0247	92.5314	
0	6501	0.01	0.01	0	1	1	3401	0	0.617674	0.941567	0	0	Sp2	53.6343	54.8327	23.8579	2	NA	0	0	0	
0	7001	0.01	0.01	0	1	1	3665	0	0.460576	-0.422839	1	0	Sp1	15.4567	95.0824	93.5555	2	NA	0	0	0	
0	7501	0.01	0.01	0	1	1	3936	0	0.260602	0.00465875	0	0	Sp1	15.6384	93.1057	95.2104	0	Sp2	52.31	54.9387	22.2266	
0	8001	0.01	0.01	0	1	0	4209	0	0.531342	-0.501864	0	2	NA	0	0	0	0	Sp1	16.7746	94.1432	94.0144	
0	8501	0.01	0.01	0	1	1	4490	0	0.130393	-0.0256097	1	1	Sp1	16.1874	70.9906	58.1358	0	Sp1	17.6134	94.3783	92.266	
0	9001	0.01	0.01	0	1	1	4767	0	0.307967	-0.596306	1	1	Sp2	14.6067	82.5795	45.143	2	NA	0	0	0	
0	9501	0.01	0.01	0	1	1	5053	0	0.18993	-0.045999	1	1	Sp2	11.4473	83.932	45.8991	0	Sp2	53.8313	56.1108	21.8632	
0	10001	0.01	0.01	0	1	0	5339	0	1.4214e-09	9.46297e-09	1	2	NA	0	0	0	2	NA	0	0	0	
0	10501	0.01	0.01	0	1	0	5634	0	1.8638e-09	1.05549e-08	0	2	NA	0	0	0	2	NA	0	0	0	
0	11001	0.01	0.01	0	1	0	5925	0	-6.49972e-10	1.004e-08	0	2	NA	0	0	0	2	NA	0	0	0	
0	11501	0.01	0.01	0	1	1	6213	0	0.424176	-0.765081	1	1	Sp1	18.9542	69.7694	59.846	2	NA	0	0	0	
0	12001	0.01	0.01	0	1	1	6495	0	0.728732	-1.207	1	0	Sp2	54.5137	55.6689	22.5452	2	NA	0	0	0	
0	12501	0.01	0.01	0	1	1	6803	0	0.590006	-0.745838	1	0	Sp1	16.3597	93.9837	94.2329	2	NA	0	0	0	
0	13001	0.01	0.01	0	1	0	7105	0	0.736608	-1.26918	0	2	NA	0	0	0	0	Sp2	55.2863	55.8069	24.4576	
0	13501	0.01	0.01	0	1	1	7388	0	0.77519	-1.42257	1	0	Sp2	53.7706	54.6562	22.0278	2	NA	0	0	0	
0	14001	0.01	0.01	0	1	0	7698	0	-3.28565e-10	1.09106e-08	1	2	NA	0	0	0	2	NA	0	0	0	
0	14501	0.01	0.01	0	1	0	7980	-0.5	0.434091	0.832357	1	2	NA	0	0	0	1	Sp2	11.7202	84.1313	46.5717	
0	15001	0.01	0.01	0	1	0	8260	0	9.55532e-10	1.20852e-08	0	2	NA	0	0	0	2	NA	0	0	0	
0	15501	0.01	0.01	0	1	1	8555	0	0.517721	-1.03476	1	1	Sp2	12.1131	80.9146	46.0689	2	NA	0	0	0	
0	16001	0.01	0.01	0	1	1	8855	0	0.754913	-1.06573	1	0	Sp1	16.4259	95.8445	95.8227	2	NA	0	0	0	
0	16501	0.01	0.01	0	1	0	9150	0	0.810924	-1.61942	0	2	NA	0	0	0	0	Sp2	54.1981	54.4	21.9558	
0	17001	0.01	0.01	0	1	0	9436	0	0.607203	0.873453	1	2	NA	0	0	0	0	Sp1	15.1354	94.189	92.81	
0	17501	0.01	0.01	0	1	0	9721	0	1.03857e-09	7.34149e-09	1	2	NA	0	0	0	2	NA	0	0	0	
0	18001	0.01	0.01	0	1	1	10022	0	0.46993	-1.00209	1	1	Sp2	12.6717	84.2156	46.5119	2	NA	0	0	0	
0	18501	0.01	0.01	0	1	0	10325	0	4.39827e-10	7.7728e-09	1	2	NA	0	0	0	2	NA	0	0	0	
0	19001	0.01	0.01	0	1	1	10633	-0.5	0.26317	-0.0559926	0	0	Sp1	15.5191	93.027	93.0234	1	Sp1	20.0551	70.042	57.0434	
0	19501	0.01	0.01	0	1	1	10942	-0.5	0.456774	0.105319	1	0	Sp2	52.6929	54.1308	21.5102	1	Sp1	17.1795	69.9314	57.6561	
0	20001	0.01	0.01	0	1	0	11232	0	-6.13461e-10	1.08912e-08	1	2	NA	0	0	0	2	NA	0	0	0	
0	20501	0.01	0.01	0	1	0	11553	-0.5	0.671473	1.50331	1	2	NA	0	0	0	1	Sp1	17.1537	70.171	57.4575	
0	21001	0.01	0.01	0	1	1	11869	0	0.970318	-2.11444	1	0	Sp2	53.1795	52.8396	23.4023	2	NA	0	0	0	
0	21501	0.01	0.01	0	1	0	12169	0	0.653791	-1.04438	0	2	NA	0	0	0	0	Sp1	15.3943	96.1869	91.8863	
0	22001	0.01	0.01	0	1	0	12477	0	-7.34477e-11	5.60762e-09	0	2	NA	0	0	0	2	NA	0	0	0	
0	22501	0.01	0.01	0	1	0	12760	0	5.15e-10	5.24083e-09	1	2	NA	0	0	0	2	NA	0	0	0	
0	23001	0.01	0.01	0	1	0	13092	0	-8.91484e-10	5.41056e-09	0	2	NA	0	0	0	2	NA	0	0	0	
0	23501	0.01	0.01	0	1	0	13397	0	1.76537e-10	6.04078e-09	1	2	NA	0	0	0	2	NA	0	0	0	
0	24001	0.01	0.01	0	1	0	13706	0	0.802605	-1.83568	0	2	NA	0	0	0	0	Sp2	55.3422	56.2221	23.5646	
0	24501	0.01	0.01	0	1	0	13995	0	-8.07882e-10	3.49382e-09	1	2	NA	0	0	0	2	NA	0	0	0	
0	25001	0.01	0.01	0	1	0	14299	0	2.95461e-10	2.92741e-09	0	2	NA	0	0	0	2	NA	0	0	0	
0	25501	0.01	0.01	0	1	1	14607	0	0.947407	-2.16724	1	0	Sp2	53.592	54.1516	22.3699	2	NA	0	0	0	
